zone,surplus_event_id,start_time,end_time,duration_h,min_price,mean_price,max_net_surplus_mw,mean_renewable_share,mean_wind100,mean_load_mw,mean_net_export_mw,max_export_utilisation,mean_bal_price_down,mean_abs_imbalance,mean_severity
SE3,184,2024-07-31 00:00:00,2024-07-31 03:00:00,4,4.94,4.9625,3736.8899999999994,0.3163840452561994,6.36368136185885,5833.75,3757.3274999999994,0.0,4.9625,0.0,7.0762305899374525
DK1,122,2024-05-16 09:00:00,2024-05-16 13:00:00,5,-0.71,-0.15999999999999998,3497.0099999999998,0.9423898865712415,11.511860747436948,2948.8720000000003,2364.152,1.109450376884422,-0.784,0.0,6.561445277401157
NO3,144,2024-11-02 21:00:00,2024-11-03 10:00:00,14,3.09,3.7478571428571428,1241.48,0.9816264453166187,7.841694804320083,3221.9235714285714,907.2764285714285,0.0,3.396428571428572,139.72912742857142,6.196592015286624
FI,105,2023-11-24 12:00:00,2023-11-24 22:00:00,11,-500.0,-455.45454545454544,-812.5300000000007,0.4536554206394357,7.397514605649249,12520.068181818182,-1034.9281818181817,0.0,-455.45454545454544,354.1020602727273,6.1612571187233565
SE4,102,2024-07-06 22:00:00,2024-07-07 16:00:00,19,-19.9,-5.524210526315789,402.77,0.9530772626621357,11.007494530307453,1643.7368421052631,199.48000000000005,0.0,-5.862105263157894,0.0,6.101489127359529
SE4,67,2024-04-14 00:00:00,2024-04-14 03:00:00,4,0.42,1.1825,274.4200000000001,0.9489019559419989,9.749035817209844,1861.25,212.4174999999999,0.0,-15.5,0.0,6.049912950650272
FI,257,2024-10-30 08:00:00,2024-10-30 15:00:00,8,1.59,2.56875,2950.6800000000003,0.5735780809951965,11.809114209621887,9995.4375,2701.225,0.0,-1.5325,532.25984175,6.037515624247836
DK1,105,2024-04-10 12:00:00,2024-04-10 13:00:00,2,0.06,0.17,2728.4700000000003,0.957291762514147,10.512928653581977,3349.925,2034.7650000000003,1.0908431208053693,-10.0,0.0,6.035255019019928
DK1,50,2023-07-17 10:00:00,2023-07-17 14:00:00,5,0.0,0.5599999999999999,2797.5600000000004,0.9297621660087583,9.393427358574689,2318.6639999999998,2306.3019999999997,1.1900218531468532,-2.13,0.0,6.021629386396768
SE3,110,2024-04-01 23:00:00,2024-04-02 02:00:00,4,0.6,1.0575,2810.59,0.3828237379081857,8.921854562734865,9023.25,2936.5299999999997,0.0,-13.75,0.0,6.013266512240187
FI,276,2024-12-01 13:00:00,2024-12-02 13:00:00,25,-0.46,2.4392,3506.4900000000016,0.5588365792984844,10.109507671812242,10103.584,2653.6240000000003,0.0,0.8687999999999999,259.13566579999997,5.995681493284816
DK1,191,2024-09-30 11:00:00,2024-09-30 11:00:00,1,2.06,2.06,2600.97,0.9375017244233528,11.675358244574126,3198.07,2097.21,1.0489760554505356,-2.0,0.0,5.945699422658872
SE4,115,2024-08-11 06:00:00,2024-08-11 14:00:00,9,-59.96,-19.986666666666665,165.56999999999994,0.9596899847472614,10.645701119359272,2026.2222222222222,24.766666666666715,0.0,-19.986666666666665,0.0,5.868674865038558
SE3,188,2024-08-03 12:00:00,2024-08-03 12:00:00,1,4.1,4.1,2666.149999999998,0.2644464465194274,2.327931857363252,6935.0,2891.65,0.0,-2.0,0.0,5.848938649819336
SE4,43,2023-10-03 23:00:00,2023-10-04 03:00:00,5,-0.09,-0.046,121.31999999999994,0.9593974789735735,9.458346253329427,1837.2,143.80799999999994,0.0,-0.046,0.0,5.83750438684081
DK1,45,2023-07-03 08:00:00,2023-07-03 14:00:00,7,-5.68,-2.207142857142857,2919.6699999999996,0.9332322969416967,11.884941483953734,2831.6614285714286,2137.6542857142854,1.273595744680851,-2.207142857142857,0.0,5.808466724303286
SE4,149,2024-10-31 22:00:00,2024-11-01 02:00:00,5,1.03,1.8719999999999999,261.1199999999999,0.9788334585165905,14.35021895775319,2018.8,70.60799999999995,0.0,0.548,0.0,5.7757026799405695
DK2,5,2023-01-30 01:00:00,2023-01-30 02:00:00,2,2.03,3.49,613.8500000000001,0.7416918803004807,14.090330150511296,1339.32,544.3900000000001,2.943888888888889,3.49,0.0,5.760134113494579
SE4,44,2023-10-04 10:00:00,2023-10-04 12:00:00,3,1.24,1.3499999999999999,50.929999999999836,0.9612128134010071,12.445309360555465,2366.6666666666665,132.72333333333327,0.0,-3.3333333333333335,0.0,5.75308765043026
SE4,68,2024-04-14 07:00:00,2024-04-14 14:00:00,8,-54.0,-26.25375,330.97999999999956,0.9447262226143083,14.890116845410555,2345.625,-54.01999999999995,0.0,-26.25375,0.0,5.6860583699450915
SE4,29,2023-09-19 18:00:00,2023-09-20 03:00:00,10,-3.7,-2.068,109.72000000000003,0.9571341884623774,12.757999735984288,1923.1,88.72399999999998,0.0,-3.7310000000000003,0.0,5.684623153398296
DK1,13,2023-03-24 12:00:00,2023-03-24 13:00:00,2,2.07,3.0300000000000002,2579.8799999999997,0.9390609991115495,12.634713613677073,3096.2200000000003,2016.12,1.0208425531914893,-1.985,0.0,5.669637316065904
DK2,70,2023-12-26 03:00:00,2023-12-26 05:00:00,3,0.1,1.2266666666666666,696.5899999999999,0.6890073995227491,11.77175439466123,1310.5766666666666,522.9866666666667,42.96,-5.933333333333334,0.0,5.664803764024033
DK1,195,2024-10-16 10:00:00,2024-10-16 12:00:00,3,2.04,3.3766666666666665,2729.0499999999993,0.9450112185239857,11.806095952118469,3585.5533333333333,1927.1066666666666,0.9240642201834862,-3.0,0.0,5.659902913076418
