zone,is_surplus,hours,mean_price,mean_net_surplus_mw,mean_net_export_mw,mean_export_util,mean_renewable_share,mean_wind100,mean_load_mw,mean_bal_price_down,mean_abs_imbalance
DK1,0,16250,85.26168492307691,81.43082153846153,-55.14345907692307,0.5818148220013959,0.6570368474030823,6.79150689951797,2485.9855809230767,72.81618092307691,0.0
DK1,1,1293,-3.3746403712296984,699.6696519721578,287.2384996133024,0.692527469519998,0.8985812131023417,9.817423220192117,2558.8814385150813,-10.252807424593968,0.0
DK2,0,16663,80.16150813178899,-359.58175958710916,-374.95804957090564,2.92543676733861,0.531209360907235,7.192510113302675,1577.7027125967713,67.69048310628338,0.0
DK2,1,880,-1.6906818181818182,-254.72777272727274,-273.8911704545455,3.132443350204621,0.8203791768957363,10.802552787208946,1435.041465909091,-5.481136363636363,0.0
FI,0,14613,61.51699993156779,-800.0070642578524,-511.0469992472456,0.0,0.3943320184330458,5.429633458279638,9332.104578799699,46.95584411140765,292.75236417197016
FI,1,2930,-1.3680955631399316,828.0596689419796,890.8299180887373,0.0,0.4924106151087387,7.607522868210145,8374.626529010238,-8.485368600682595,249.27646591433447
NO1,0,16522,57.933132792640116,-1666.7803141266188,-1615.4159460113788,0.0,0.9937731152619691,3.3483502918415593,4031.020269943106,52.120104708873015,118.6843553095267
NO1,1,1021,-1.5267874632713025,-96.99503428011748,-50.331175318315374,0.0,0.9928523753990294,3.8059189320360414,2695.5037512242898,-4.294368266405485,112.40277047110676
NO2,0,16935,67.17354945379392,2054.71303572483,1881.9345338057276,5.941902651660099,0.9840850850052515,5.4176897949121035,4080.000911721287,60.55403483909064,132.86597373167993
NO2,1,608,-2.3488157894736843,-451.336365131579,-786.6808059210526,3.340032515404685,0.9951824773455202,7.241002159599921,3502.013980263158,-6.200263157894736,133.39663526151315
NO3,0,16443,35.56062944718118,-603.425578057532,-547.4712126740862,0.0,0.9862430190053316,4.7223365078798185,3235.8952788420606,29.419199659429545,116.42722258310528
NO3,1,1100,0.3810818181818182,-86.99878181818181,-62.63461818181818,0.0,0.9874886271068519,6.675238738485191,2891.5427272727275,-1.0893181818181819,113.83955265
NO4,0,16445,28.384634235329887,648.2020158102767,676.4686202493159,0.0,0.9287154895906967,3.587030062414635,2352.499931286105,22.799522043174218,85.5969281458802
NO4,1,1098,0.541448087431694,-53.174125683060105,4.102140255009107,0.0,0.9127240261573734,4.657116096568756,2049.460746812386,-2.534089253187614,94.55311031147541
NO5,0,15877,59.58689424954336,1650.8791251495875,1611.8468218177236,0.0,0.9657381936111152,5.181086758740356,1940.6265931851106,53.93017257668325,73.36963628418466
NO5,1,1666,0.9226470588235295,1690.4914285714287,1606.7192436974788,0.0,0.9880532261932232,6.25035683530611,1556.8953541416568,-0.7043037214885955,86.00868624789916
SE1,0,14116,40.15346557098328,1722.7853095777841,1720.9882572966844,0.0,0.9931477071855043,5.1065763569643075,1268.2699064890903,31.604432558798525,0.0
SE1,1,3427,0.9955150277210388,1006.7158126641377,1033.2386168660637,0.0,0.9955592637729589,7.06665051201137,1113.98424277794,-2.5429880361832504,0.0
SE2,0,13658,41.18847708302826,4025.067363449993,4116.353237662908,0.0,0.9785822692726645,5.0377715914624925,1793.5399685166203,33.10604920193293,0.0
SE2,1,3885,1.059879021879022,4034.89288030888,4097.474612612612,0.0,0.9873399924300358,7.062362870669582,1492.0314028314028,-2.830610038610039,0.0
SE3,0,15615,49.1943432596862,-1246.5548908101186,-990.5184841498559,0.0,0.2921125868518221,5.4407452673875145,9722.8939481268,41.59934357989113,0.0
SE3,1,1928,-0.546789419087137,402.9202126556017,627.1245072614108,0.0,0.35654826205226714,7.607369631451017,7735.122925311203,-5.146846473029046,0.0
SE4,0,16391,61.48822219510707,-1501.4657019095846,-1400.1152656945885,0.0,0.829189191960971,6.008583638199116,2521.1019461899823,49.169419193459824,0.0
SE4,1,1152,-2.477543402777778,-676.659609375,-580.2669791666667,0.0,0.9277343764014275,8.463332826059805,2069.1927083333335,-5.973663194444445,0.0
